web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771780977-1","https://sn.coinafrique.com/categorie/chiens?page=11","Pékinois","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1592664_uploaded_image1_1580822577.52.png"
"1771780977-2","https://sn.coinafrique.com/categorie/chiens?page=11","Doberman lignée européenne","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1592645_uploaded_image1_1580822366.65.png"
"1771780977-3","https://sn.coinafrique.com/categorie/chiens?page=11","Spitz pomperanian nain","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1592536_uploaded_image1_1580821182.56.png"
"1771780977-4","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot Spitz nain","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1571895_uploaded_image1_1580477105.7.png"
"1771780977-5","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Hight quality husky Sibérien","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1568103_uploaded_image1_1580413061.76.png"
"1771780977-6","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots akita américain","990 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1536386_uploaded_image1_1580821754.85.png"
"1771780977-7","https://sn.coinafrique.com/categorie/chiens?page=11","Caniche","100 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1502366_uploaded_image1_1579392503.84.png"
"1771780977-8","https://sn.coinafrique.com/categorie/chiens?page=11","Caniches","100 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1502318_uploaded_image1_1579389696.6.png"
"1771780977-9","https://sn.coinafrique.com/categorie/chiens?page=11","Caniche","100 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1502314_uploaded_image1_1579389662.11.png"
"1771780977-10","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots husky sibérien - dog argentin - cane corso","350 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1477206_uploaded_image1_1578994405.03.png"
"1771780977-11","https://sn.coinafrique.com/categorie/chiens?page=11","Spitz nain","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1771780977-12","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Chowchow","990 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1444195_uploaded_image1_1578452519.81.png"
"1771780977-13","https://sn.coinafrique.com/categorie/chiens?page=11","Bebé Lhasa Apso","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_1426072_uploaded_image1_1578142225.59.png"
"1771780977-14","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Dalmatiens","450 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1396092_uploaded_image1_1577444313.67.png"
"1771780977-15","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot Berger Allemand","350 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1387279_uploaded_image1_1577244796.5.png"
"1771780977-16","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Shih-Tzu","250 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1381280_uploaded_image1_1577118817.92.png"
"1771780977-17","https://sn.coinafrique.com/categorie/chiens?page=11","Chien Pitbull","150 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1339794_uploaded_image1_1576322961.44.png"
"1771780977-18","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Cane Corso","500 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1279844_uploaded_image1_1575227437.45.png"
"1771780977-19","https://sn.coinafrique.com/categorie/chiens?page=11","Bichon maltais","170 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1208713_uploaded_image1_1573923517.79.png"
"1771780977-20","https://sn.coinafrique.com/categorie/chiens?page=11","Bergers - labrador - pitbull - rottweiler","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_1184876_uploaded_image1_1573492032.86.png"
"1771780977-21","https://sn.coinafrique.com/categorie/chiens?page=11","Bichons malté","180 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_1176190_uploaded_image1_1573296965.03.png"
"1771780977-22","https://sn.coinafrique.com/categorie/chiens?page=11","Berger blanc","200 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_1163882_uploaded_image1_1577060329.24.png"
"1771780977-23","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Berger Allemand de race pure","125 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1148739_uploaded_image1_1572796180.58.png"
"1771780977-24","https://sn.coinafrique.com/categorie/chiens?page=11","Pitbull","90 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1139092_uploaded_image1_1572580780.65.png"
"1771780977-25","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Berger Allemand","350 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1123229_uploaded_image1_1572285379.45.png"
"1771780977-26","https://sn.coinafrique.com/categorie/chiens?page=11","Chien Rottweiler","375 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1122493_uploaded_image1_1572275963.13.png"
"1771780977-27","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot berger allemand","200 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1115802_uploaded_image1_1572126146.27.png"
"1771780977-28","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot akita américain","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1106542_uploaded_image1_1571934153.2.png"
"1771780977-29","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots","350 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1000525_uploaded_image1_1569688531.08.png"
