web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771781241-1","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","290 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2495989_uploaded_image1_1596037715.jpg"
"1771781241-2","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","400CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2495680_uploaded_image1_1596032109.jpg"
"1771781241-3","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","800 000CFA","Saint-Louis, Sénégal","https://images.coinafrique.com/thumb_2495384_uploaded_image1_1596026626.jpg"
"1771781241-4","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","150 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2494553_uploaded_image1_1596015216.jpg"
"1771781241-5","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","950 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_2493619_uploaded_image1_1595976179.jpg"
"1771781241-6","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","180 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2491349_uploaded_image1_1595932714.jpg"
"1771781241-7","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","275 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2488569_uploaded_image1_1595858646.jpg"
"1771781241-8","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","650 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2487484_uploaded_image1_1595843120.jpg"
"1771781241-9","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","200 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2487408_uploaded_image1_1595841920.jpg"
"1771781241-10","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","120 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2487271_uploaded_image1_1595839511.jpg"
"1771781241-11","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","190 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2486092_uploaded_image1_1595792898.jpg"
"1771781241-12","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2484036_uploaded_image1_1595732124.jpg"
"1771781241-13","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2484035_uploaded_image1_1595732058.jpg"
"1771781241-14","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2484034_uploaded_image1_1595731974.jpg"
"1771781241-15","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2484033_uploaded_image1_1595731898.jpg"
"1771781241-16","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2484032_uploaded_image1_1595731823.jpg"
"1771781241-17","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482759_uploaded_image1_1595694878.jpg"
"1771781241-18","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","300 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482666_uploaded_image1_1595692369.jpg"
"1771781241-19","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","299 999CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482541_uploaded_image1_1595689964.jpg"
"1771781241-20","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2482513_uploaded_image1_1595689410.jpg"
"1771781241-21","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton élevage","210 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2482497_uploaded_image1_1595689095.jpg"
"1771781241-22","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","210 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2482469_uploaded_image1_1595688795.jpg"
"1771781241-23","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","200 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482461_uploaded_image1_1595688566.jpg"
"1771781241-24","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","250 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482438_uploaded_image1_1595688131.jpg"
"1771781241-25","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","180 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2482386_uploaded_image2_1595687045.jpeg"
"1771781241-26","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","135CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482334_uploaded_image1_1595686358.jpg"
"1771781241-27","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","150 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482245_uploaded_image1_1595685020.jpg"
"1771781241-28","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","185 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482210_uploaded_image1_1595684396.jpg"
"1771781241-29","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","500 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2480332_uploaded_image1_1595632537.jpg"
"1771781241-30","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2480286_uploaded_image1_1595631859.jpg"
"1771781241-31","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2480284_uploaded_image1_1595631819.jpg"
"1771781241-32","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2480280_uploaded_image1_1595631786.jpg"
"1771781241-33","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","125 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2480059_uploaded_image1_1595628588.jpg"
"1771781241-34","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","350 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_2479813_uploaded_image1_1595623583.jpg"
"1771781241-35","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","500 000CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_2479050_uploaded_image1_1595609325.jpg"
"1771781241-36","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","325 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2478871_uploaded_image1_1595606375.21.jpeg"
"1771781241-37","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","350 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2478859_uploaded_image1_1595606128.43.jpeg"
"1771781241-38","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","135 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2476451_uploaded_image1_1595553317.jpg"
"1771781241-39","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","135 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2476442_uploaded_image1_1595553184.jpg"
"1771781241-40","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","185 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2476438_uploaded_image1_1595553129.jpg"
"1771781241-41","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2476432_uploaded_image1_1595553029.jpg"
"1771781241-42","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","175 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2476429_uploaded_image1_1595552984.jpg"
"1771781241-43","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","135 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2476426_uploaded_image1_1595552919.jpg"
"1771781241-44","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","225 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2474476_uploaded_image1_1595514825.jpg"
"1771781241-45","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","400 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2472372_uploaded_image1_1595473445.jpg"
"1771781241-46","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","500 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2472365_uploaded_image1_1595473179.jpg"
"1771781241-47","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2470369_uploaded_image1_1595430310.jpg"
"1771781241-48","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","2 300 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2470033_uploaded_image1_1595425583.jpg"
"1771781241-49","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_2469630_uploaded_image1_1595420981.jpg"
"1771781241-50","https://sn.coinafrique.com/categorie/moutons?page=11","Moutons","100 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2469403_uploaded_image1_1595417830.jpg"
"1771781241-51","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","290 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2468117_uploaded_image1_1595379948.jpg"
"1771781241-52","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton","290 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2468111_uploaded_image1_1595379814.jpg"
"1771781241-53","https://sn.coinafrique.com/categorie/moutons?page=11","Mouton Ladoum","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2466736_uploaded_image1_1595352722.jpg"
