web_scraper_order,web_scraper_start_url,nom,prix,adresse,image
"1771781962-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins de race","70 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1291215_uploaded_image1_1575425694.27.png"
"1771781962-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins de race","70 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1291213_uploaded_image1_1575425609.27.png"
"1771781962-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_1261253_uploaded_image1_1574871227.98.png"
"1771781962-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeon mondain","20 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1247406_uploaded_image1_1574631655.88.png"
"1771781962-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeon fauve","10 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1246480_uploaded_image1_1574613561.29.png"
"1771781962-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeon à queue de paon indien","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1242200_uploaded_image1_1574510941.51.png"
"1771781962-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeons","60 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_1209192_uploaded_image1_1573933592.0.png"
"1771781962-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Jeune femelle  lavande","20 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1204935_uploaded_image1_1573840898.61.png"
"1771781962-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poussin - 1 jour","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_1159518_uploaded_image1_1572985208.46.png"
"1771781962-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lawar","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1148681_uploaded_image1_1572794832.68.png"
"1771781962-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Maton","25 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1148605_uploaded_image1_1572793285.71.png"
